TICKERS,Name,Price,Market_Cap,Beta,Sector,Industry,P/E_Ratio,FWD_P/E_Ratio,PEG_Ratio,P/B_Ratio,P/S_Ratio_TTM,EV/EBITDA,Dividend_Yield,Payout_Ratio,Profit_Margin,Operating_Margin,EBITDA_Margin
LFT,"Lument Finance Trust, Inc.",2.485,130269803.78417969,1.11,Real Estate,REIT—Mortgage,6.922222,6.557895,-0.58,0.7041573,3.615028,,0.1265,0.8056,0.63762003,0.56469,
LGF.A,,,,,,,,,,,,,,,,,
LGI,"Lazard Global Total Return and Income Fund, Inc.",17.68,231109106.97841644,1.141,Financial Services,Asset Management,9.202073,,,0.96903676,45.098816,,0.1003,0.6213,4.9121,0.33719003,
LH,Labcorp Holdings Inc.,220.75,18358574157.92871,1.038,Healthcare,Diagnostics & Research,40.971138,13.86925,1.59,2.29989,1.481373,14.364,0.0134000005,0.5353,0.036,0.09513,0.13260001
LHX,"L3Harris Technologies, Inc.",244.72,46322163557.11914,0.731,Industrials,Aerospace & Defense,39.373997,17.17239,2.32,2.470863,2.2325625,16.236,0.0187,0.7375,0.05731,0.11625,0.17751
LICY,Li-Cycle Holdings Corp.,2.3534,49429642.49668121,1.549,Industrials,Waste Management,,-0.40088496,,0.21668576,2.247169,-3.81,,,,-3.2023802,
LII,Lennox International Inc.,599.83,21357296965.026855,1.078,Industrials,Building Products & Equipment,33.059345,25.9495,2.09,36.809937,4.264321,23.032,0.0076,0.2468,0.12852,0.21948999,0.19895001
LITB,"LightInTheBox Holding Co., Ltd.",2.38,43755350.1039505,0.938,Consumer Cyclical,Internet Retail,,119.00001,,,0.10165946,-100.734,,,-0.01716,0.00892,-0.01197
LLAP,Terran Orbital Corporation,0.2486,50805775.16967058,1.953,Industrials,Aerospace & Defense,,-0.53847826,-0.01,,0.3826147,-2.473,,,-1.18619,-0.84632003,-0.72619003
LLY,Eli Lilly and Company,910.716,818023486884.4062,0.416,Healthcare,Drug Manufacturers—General,111.29413,39.059784,0.92,60.28316,21.049067,54.293,0.0057,0.5985,0.18863001,0.39091998,0.39827
LMND,"Lemonade, Inc.",18.41,1306203111.2080078,1.77,Financial Services,Insurance—Property & Casualty,,-7.2948203,-0.32,2.0489604,2.759433,-5.858,,,-0.44217998,-0.4398,-0.36240003
LMT,Lockheed Martin Corporation,574.3,138798246398.0713,0.47,Industrials,Aerospace & Defense,21.176897,20.4829,5.19,22.414886,1.9339231,16.055,0.0215,0.45189998,0.09478,0.12465999,0.14306
LNC,Lincoln National Corporation,33.215,5609692700.5,1.798,Financial Services,Insurance—Life,3.47584,4.3933773,0.32,0.810256,0.41609836,21.985,0.0548,0.1891,0.12761,0.07855,-0.07308
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,4.42,436315918.9200897,0.427,Consumer Defensive,Farm Products,11.193334,,,0.2010877,0.43468276,7.726,0.14739999,1.4958,0.22253,0.41007,0.16407
LNG,"Cheniere Energy, Inc.",182.12,41159055863.73926,0.946,Energy,Oil & Gas Midstream,9.654314,16.027485,-0.48,9.2489195,2.5854704,7.577,0.0095999995,0.09,0.2795,0.50063,0.57429004
LNN,Lindsay Corporation,113.14,1230238184.2552185,0.605,Industrials,Farm & Heavy Construction Machinery,17.19149,20.198917,0.88,2.5691154,1.9933012,11.429,0.0127,0.21280001,0.11748999,0.14321999,0.17233999
LOAR,Loar Holdings Inc.,80.545,7167317640.000001,,Industrials,Aerospace & Defense,570.2857,114.42857,,9.473684,20.244076,60.394,,,0.03399,0.21517,0.33956
LOB,"Live Oak Bancshares, Inc.",46.31,2138293942.314148,1.606,Financial Services,Banks—Regional,19.27049,16.663122,,2.1982346,4.8770247,,0.0025,0.049200002,0.25852,0.3409,
LOCL,Local Bounti Corporation,2.48,22041766.087830067,2.535,Consumer Defensive,Farm Products,,-0.47961164,,,0.6804869,-8.652,,,,-1.46818,-1.60183
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,8.03,1147050714.5576477,1.294,Basic Materials,Building Materials,13.862069,10.05,151789.0,0.0015169879,0.00358657,2.825,0.1195,,0.20844,0.16582,0.22834
LOW,"Lowe's Companies, Inc.",272.26,153512603432.1582,1.093,Consumer Cyclical,Home Improvement Retail,22.33058,21.331886,9.02,,1.8400276,15.522,0.0166,0.3675,0.08248,0.14615,0.14797
LPG,Dorian LPG Ltd.,32.01,1380229197.4647522,1.11,Energy,Oil & Gas Midstream,4.270806,6.091337,0.47,1.2271312,2.4389248,4.602,0.122,0.5284,0.54742,0.49168998,0.69908994
LPL,"LG Display Co., Ltd.",3.78,3876011970.6630707,1.059,Technology,Consumer Electronics,,-12.579999,0.04,0.00024695738,0.00016033578,4.865,,,-0.08083,-0.01396,0.13312
LPX,Louisiana-Pacific Corporation,100.71,7122462763.16748,1.877,Industrials,Building Products & Equipment,16.466665,19.377628,4.06,4.333248,2.422969,10.233,0.0101,0.1626,0.15179,0.23587,0.24375999
LRN,"Stride, Inc.",64.09,2767653713.018799,0.266,Consumer Defensive,Education & Training Services,13.688699,11.291374,0.65,2.3179107,1.350495,9.583,,,0.10009,0.0538,0.14474
LSPD,Lightspeed Commerce Inc.,15.515,2399045041.200638,2.689,Technology,Software—Application,,27.675438,,1.0156653,2.4475842,-18.948,,,-0.15552,-0.10415,-0.094960004
LTC,"LTC Properties, Inc.",35.84,1560032884.54628,0.908,Real Estate,REIT—Healthcare Facilities,16.226244,18.585493,-5.7,1.7542849,7.941024,16.423,0.064,1.0317,0.47951,0.58799,0.77589995
LTH,"Life Time Group Holdings, Inc.",25.94,5344247894.020081,1.877,Consumer Cyclical,Leisure,49.113213,28.900002,2.54,2.182613,2.1991541,16.601,,,0.04539,0.14556,0.23483999
LTM,,27.38,8280855180.799999,1.808,Industrials,Airlines,11.470588,7.735876,0.75,27379.998,0.66439474,7809.101,0.0217,0.2482,0.057550002,0.087290004,0.16860001
LU,Lufax Holding Ltd,2.995,2827773610.637329,,Financial Services,Credit Services,,11.819259,-0.13,0.022044366,0.052992973,-0.262,0.1047,3.9468,0.10189,0.42235002,0.36873
LUMN,"Lumen Technologies, Inc.",6.19,6458065010.116455,1.188,Communication Services,Telecom Services,,-11.1875,0.84,13.671024,0.4577721,6.897,,,-0.15055001,0.02846,0.25445
LUV,Southwest Airlines Co.,30.675,18139477704.239746,1.162,Industrials,Airlines,233.30693,21.6715,2.98,1.7405244,0.679485,10.026,0.023699999,5.5385,0.0028900001,0.05412,0.064
LVS,Las Vegas Sands Corp.,51.755,38158223068.66455,1.127,Consumer Cyclical,Resorts & Casinos,24.335678,18.593525,1.58,10.121546,3.3355281,11.622,0.0156,0.3756,0.14077,0.21985,0.35266998
LVWR,"LiveWire Group, Inc.",6.26,1274377496.123314,0.955,Consumer Cyclical,Auto Manufacturers,,-20.16129,,7.992327,36.53129,-10.747,,,-2.77307,-4.36734,
LW,"Lamb Weston Holdings, Inc.",77.405,10931563202.209473,0.748,Consumer Defensive,Packaged Foods,18.015259,15.455735,6.74,5.964599,1.7129031,11.562,0.0186,0.3192,0.09573,0.12823,0.20048
LXFR,Luxfer Holdings PLC,12.71,343405485.8253479,0.9,Industrials,Specialty Industrial Machinery,,11.720182,,1.6991903,0.8903215,11.655,0.0405,1.4053999,-0.01281,0.14343001,0.09833
LXP,LXP Industrial Trust,9.635,2829166274.61969,0.891,Real Estate,REIT—Industrial,106.5,-478.97,-63.67,1.3812752,8.3521185,18.433,0.0545,5.6871996,0.095240004,0.14218001,0.71165
LXU,"LSB Industries, Inc.",9.04,644948049.7163849,0.83,Basic Materials,Chemicals,224.75,14.548388,-0.51,1.2316756,1.2314541,10.615,,,0.00401,0.102819994,0.17052999
LYB,LyondellBasell Industries N.V.,89.44,28867903481.69287,1.08,Basic Materials,Specialty Chemicals,12.520393,9.699674,1.93,2.1549597,0.7083687,8.452,0.059699997,0.71589994,0.05658,0.09149,0.11307
LYG,Lloyds Banking Group plc,3.215,49970755592.54297,1.234,Financial Services,Banks—Regional,8.675675,8.930555,,5.144231,2.702975,,0.0465,0.39310002,0.27215,0.38493,
LYV,"Live Nation Entertainment, Inc.",116.125,26687306795.822144,1.347,Communication Services,Entertainment,104.840904,48.114582,3.23,,1.1294817,16.384,,,0.022,0.092810005,0.07615
LZB,La-Z-Boy Incorporated,39.45,1645482054.3823242,1.291,Consumer Cyclical,"Furnishings, Fixtures & Appliances",13.987545,11.65282,1.77,1.6504205,0.80126715,8.731,0.0201,0.27809998,0.05886,0.06528,0.10069
LZM,Lifezone Metals Limited,6.33,503106143.540287,0.287,Basic Materials,Other Industrial Metals & Mining,,-28.045456,,13.708609,502.38336,-1.829,,,,-663.8275,
M,"Macy's, Inc.",15.66,4329792309.891541,2.145,Consumer Cyclical,Department Stores,24.03077,6.0092306,0.49,1.0081867,0.18482488,5.064,0.0434,1.0433999,0.00783,0.03709,0.08239
MA,Mastercard Incorporated,513.81,472362873139.4531,1.103,Financial Services,Credit Services,39.10627,30.738895,2.18,63.894363,17.99658,29.801,0.0050999997,0.1881,0.46449003,0.59388,0.61554
MAA,"Mid-America Apartment Communities, Inc.",154.1,18408197092.895508,0.871,Real Estate,REIT—Residential,34.881817,36.748806,-46.92,2.990112,8.473809,18.132,0.0385,1.3045,0.23773001,0.30332002,0.57535
MAC,The Macerich Company,18.32,4143296813.153137,2.483,Real Estate,REIT—Retail,,-97.36842,156.95,1.5952668,5.249188,23.267,0.0368,2.5,-0.094790004,-0.12272,0.46802
MAIN,Main Street Capital Corporation,52.2399,4568767849.171387,1.297,Financial Services,Asset Management,9.789179,13.380076,1.58,1.7603035,8.8118515,,0.0777,0.7463,0.87579,0.88125,
MAN,ManpowerGroup Inc.,62.785,2930145115.179825,1.426,Industrials,Staffing & Employment Services,70.873566,11.8762,1.7,1.3611208,0.16442406,8.147,0.049200002,3.4598,0.00211,0.023929998,0.02643
MANU,Manchester United plc,16.18,2714167656.261444,0.679,Communication Services,Entertainment,,-34.234043,14893.8,18.796728,4.095072,21.905,,,-0.171,-0.2059,0.22432
MAS,Masco Corporation,82.3,17911694706.835693,1.249,Industrials,Building Products & Equipment,20.04523,18.243334,2.59,,2.2855473,14.064,0.0138,0.28120002,0.11589,0.18986,0.19294001
MATV,"Mativ Holdings, Inc.",15.97,849674298.6516953,0.686,Basic Materials,Specialty Chemicals,,9.570122,3.86,0.9503932,0.43802777,11.515,0.0253,1.2028,-0.16545999,0.04315,0.08483
MATX,"Matson, Inc.",134.0,4509363971.55304,1.07,Industrials,Marine Shipping,14.186047,14.514627,0.83,1.875175,1.4108808,9.671,0.0101,0.1353,0.10408,0.1481,0.16264999
MAV,"Pioneer Municipal High Income Advantage Fund, Inc.",8.6501,207576999.2980957,0.649,Financial Services,Asset Management,54.125626,,,0.9397479,10.56977,,0.045,2.1625,0.19695,0.87136,
MAX,"MediaAlpha, Inc.",19.39,1247341165.0180817,1.224,Communication Services,Internet Content & Information,,36.20755,6.17,,2.576142,181.895,,,-0.0269,0.040409997,0.01245
MBC,"MasterBrand, Inc.",18.5691,2380582389.860153,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",13.452555,11.187879,,1.8615091,0.88362706,8.156,,,0.06692,0.12505999,0.13642
MBI,MBIA Inc.,3.745,192886594.5400715,1.215,Financial Services,Insurance—Specialty,,-4.0319147,-0.17,,-2.951785,,,,,4.7907,
MC,Moelis & Company,70.155,4952431714.477295,1.342,Financial Services,Capital Markets,466.76663,29.413862,-15.3,13.76107,5.073757,,0.034,16.0,0.0137600005,0.07585,
MCB,Metropolitan Bank Holding Corp.,55.52,624175128.1402588,1.135,Financial Services,Banks—Regional,10.322097,7.611813,,0.86345637,2.3952756,,,,0.23177,0.29814,
MCD,McDonald's Corporation,315.02,225633065800.6797,0.726,Consumer Cyclical,Restaurants,27.574802,24.653093,5.56,,8.778397,20.126,0.0225,0.5718,0.3225,0.46655998,0.53462005
MCK,McKesson Corporation,506.11,65701500276.70288,0.433,Healthcare,Medical Distribution,22.614214,14.1956215,1.15,,0.20954289,13.885,0.0056,0.1109,0.009430001,0.014520001,0.0164
MCN,Madison Covered Call & Equity Strategy Fund,7.0512,148983188.70663643,0.816,Financial Services,Asset Management,23.55,,,1.0432664,33.101383,,0.1021,2.4,1.4299899,0.64337,
MCO,Moody's Corporation,468.175,85238983809.08203,1.287,Financial Services,Financial Data & Stock Exchanges,46.21866,35.96769,2.83,22.512892,13.031576,30.11,0.0069999998,0.3202,0.28345,0.43643,0.47338
MCR,MFS Charter Income Trust,6.386,268265146.11644745,0.692,Financial Services,Asset Management,11.822037,30.384287,,0.9438905,11.978602,,0.085200004,0.9992,1.01124,0.90256,
MCS,The Marcus Corporation,16.46,527968771.09069824,1.521,Communication Services,Entertainment,,37.443184,-2.15,1.1833346,0.8198439,11.522,0.0171,0.6667,-0.03292,0.01353,0.1157
MCW,"Mister Car Wash, Inc.",6.31,2013040381.7904053,1.648,Consumer Cyclical,Auto & Truck Dealerships,29.910477,16.56579,3.31,2.1287067,2.1255095,14.749,,,0.073649995,0.22701,0.27122998
MCY,Mercury General Corporation,65.625,3636773864.8979187,0.834,Financial Services,Insurance—Property & Casualty,11.376083,10.135385,0.36,2.208623,0.72389674,7.202,0.0191,0.2201,0.0636,0.06352,0.0971
MD,"Pediatrix Medical Group, Inc.",12.8352,1093071594.693756,1.566,Healthcare,Medical Care Facilities,,8.780822,0.87,1.5290885,0.5505834,8.645,,,-0.12579,0.0967,0.094790004
MDT,Medtronic plc,90.66,115921378692.91406,0.854,Healthcare,Medical Devices,30.501682,15.497437,2.99,2.4232333,3.5733423,15.198,0.0308,0.9327,0.12055001,0.17511,0.27667
MDU,"MDU Resources Group, Inc.",29.05,5884207804.443359,0.682,Industrials,Conglomerates,14.412935,16.959064,2.36,1.9600028,1.3476819,12.357,0.0178,0.2488,0.09255,0.08603,0.15369001
MDV,"Modiv Industrial, Inc.",17.08,164766510.92681885,-0.22,Real Estate,REIT—Industrial,,156.63637,,0.87377656,3.3245285,17.675,0.0668,7.1872997,-0.03687,0.44992,0.5387
MEC,"Mayville Engineering Company, Inc.",20.4116,417957274.43885803,0.943,Industrials,Metal Fabrication,39.82353,16.512194,,1.7507955,0.6691421,9.058,,,0.01691,0.04981,0.1007
MED,"Medifast, Inc.",17.61,193920096.99325562,1.162,Consumer Cyclical,Personal Services,6.597015,27.546875,0.81,0.91470367,0.2478088,0.946,0.3441,0.6157,0.03808,-0.046729997,0.06147
MEG,"Montrose Environmental Group, Inc.",27.455,919757441.7268753,1.868,Industrials,Waste Management,,123.0,0.08,2.0629663,1.414512,42.302,,,-0.049060002,-0.00827,0.045840003
MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund,14.65,765358483.5290909,,,,43.27941,,,,,,0.1244,,,,
MEI,"Methode Electronics, Inc.",10.43,368663747.34449387,0.724,Technology,Electronic Components,,10.134616,-2.32,0.5004498,0.3386887,12.356,0.053600002,0.36360002,-0.13154,-0.026689999,0.043569997
MET,"MetLife, Inc.",84.8,59156452929.12891,1.031,Financial Services,Insurance—Life,23.035324,8.634419,0.87,2.189957,0.8627634,15.241,0.0257,0.572,0.0423,0.07165,0.07625
MFA,"MFA Financial, Inc.",12.23,1247454287.2591019,2.205,Real Estate,REIT—Mortgage,19.420635,7.370482,-0.29,0.6630164,4.78448,,0.1137,2.2222,0.37750998,0.51256,
MFC,Manulife Financial Corporation,30.0601,53013453517.91382,1.058,Financial Services,Insurance—Life,17.585295,10.276632,5.52,1.1394986,1.8692598,,0.039100002,0.6511,0.17343001,0.21032,
MFG,"Mizuho Financial Group, Inc.",4.225,53705847023.25391,0.425,Financial Services,Banks—Regional,11.092106,2.9475527,0.25,0.0010313764,0.016223026,,0.0324,0.3639,0.21906,0.3824,
MFM,MFS Municipal Income Trust,5.61,231923252.97489166,0.558,Financial Services,Asset Management,33.176468,,,0.95330745,13.531654,,0.0427,1.3059,0.40855,0.84549004,
MG,"Mistras Group, Inc.",11.46,356971155.01213074,1.723,Industrials,Security & Protection Services,,12.844445,2.92,1.8540498,0.4850996,8.642,,,-0.0073900004,0.06606,0.095819995
MGA,Magna International Inc.,42.04,11979420719.833374,1.6,Consumer Cyclical,Auto Parts,12.078488,6.737439,0.82,1.0270417,0.28051335,5.034,0.0454,0.5436,0.022920001,0.04928,0.08704001
MGF,MFS Government Markets Income Trust,3.22,105266346.62160873,0.309,Financial Services,Asset Management,Infinity,,,0.99722564,24.201027,,0.074099995,12.433499,0.07977,0.80293,
MGM,MGM Resorts International,40.4118,12272307817.11621,2.236,Consumer Cyclical,Resorts & Casinos,15.238721,14.121951,-6.53,3.8443284,0.7236223,16.556,,,0.051680002,0.110369995,0.15006
MGY,Magnolia Oil & Gas Corporation,26.165,5236626077.7282715,1.999,Energy,Oil & Gas E&P,12.808824,12.874385,2.36,2.7130418,4.0325565,5.475,0.0195,0.2402,0.29443002,0.39898998,0.71827006
MHD,"BlackRock MuniHoldings Fund, Inc.",12.55,656462751.9561768,0.548,Financial Services,Asset Management,22.89091,,,0.92505515,14.051485,,0.056599997,1.0526999,0.57769,0.88757,
MHF,Western Asset Municipal High Income Fund Inc.,7.23,157079458.4777832,0.423,Financial Services,Asset Management,25.910715,,,1.0070794,22.866272,,0.056199998,1.035,0.90576,0.84063005,
MHI,"Pioneer Municipal High Income Fund, Inc.",9.405,214050211.31343842,0.67,Financial Services,Asset Management,,,,0.96631753,12.480325,,0.044699997,10.4,-0.09553,0.85073,
MHK,"Mohawk Industries, Inc.",153.405,9578019925.0,1.376,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,13.053356,1.22,1.2513926,0.8875476,8.334,,,-0.03302,0.09117,0.1382
MHN,"BlackRock MuniHoldings New York Quality Fund, Inc.",10.93,331447937.1536255,0.572,Financial Services,Asset Management,23.804346,,,0.9047344,12.778401,,0.056199998,1.0696,0.51608,0.85640997,
MHO,"M/I Homes, Inc.",160.09,4388409755.099487,2.232,Consumer Cyclical,Residential Construction,8.718102,7.7124276,0.7,1.5964348,1.0510572,7.006,,,0.12672,0.16517,0.15923999
MIN,MFS Intermediate Income Trust,2.7299,312392881.08730316,0.296,Financial Services,Asset Management,136.75,,,0.9750445,25.458736,,0.0892,12.271,0.31009,0.81292,
MIR,"Mirion Technologies, Inc.",14.06,3199323248.664856,0.792,Industrials,Specialty Industrial Machinery,,28.938776,,1.9429982,4.0038166,22.784,,,-0.0789,0.01931,0.19408001
MITT,"AG Mortgage Investment Trust, Inc.",7.45,220165249.50027466,2.069,Real Estate,REIT—Mortgage,4.503012,10.114865,-0.35,0.7047359,3.2871552,,0.081999995,0.4398,0.86833,0.68663,
MIY,"BlackRock MuniYield Michigan Quality Fund, Inc.",11.8989,345260418.20983887,0.425,Financial Services,Asset Management,18.338463,,,0.9103416,13.464796,,0.0551,0.8031,0.71581,0.88158995,
MKC,"McCormick & Company, Incorporated",78.55,20761900459.2312,0.76,Consumer Defensive,Packaged Foods,26.440475,24.830671,3.26,3.782112,3.14514,19.997,0.0215,0.56119996,0.11868,0.17282,0.19018999
MKFG,Markforged Holding Corporation,4.6,93832636.84635162,1.527,Technology,Computer Hardware,,-5.1222224,,0.7953761,1.0791436,-0.93,,,-1.34024,-0.78578,-0.75195
MKL,Markel Group Inc.,1587.06,20498263417.48047,0.732,Financial Services,Insurance—Property & Casualty,10.322381,15.951522,0.37,1.3506539,1.2692027,6.212,,,0.13003999,0.11075,0.19861999
ML,MoneyLion Inc.,47.328,511899874.91607666,2.688,Technology,Software—Application,172.88889,13.684751,,1.8396226,1.089986,15.001,,,0.00401,0.04377,0.087799996
MLI,"Mueller Industries, Inc.",83.525,9332798400.421143,1.036,Industrials,Metal Fabrication,16.983707,15.5188675,1.23,3.6691608,2.7881248,9.872,0.0111,0.1449,0.16192,0.21044001,0.22063999
MLM,"Martin Marietta Materials, Inc.",568.295,34512215348.21167,0.907,Basic Materials,Building Materials,17.035833,26.363968,3.72,3.9222934,5.2612505,19.54,0.0055,0.089099996,0.30812,0.22902,0.30882
MLNK,"MeridianLink, Inc.",21.36,1592706213.9014282,0.999,Technology,Software—Application,,49.325577,58.74,3.6622996,5.215197,33.06,,,-0.15158,0.02231,0.19484
MLP,"Maui Land & Pineapple Company, Inc.",21.6,427587151.4802933,0.452,Real Estate,Real Estate Services,,,,12.510052,37.75605,-117.66,,,-0.34117,-0.74064004,-0.32139
MLR,"Miller Industries, Inc.",63.315,724911012.4862671,0.969,Consumer Cyclical,Auto Parts,10.1942215,10.276699,0.67,1.9148551,0.5619036,6.98,0.012,0.1188,0.05548,0.0762,0.08566
MMC,"Marsh & McLennan Companies, Inc.",221.29,108496128681.15234,0.935,Financial Services,Insurance Brokers,27.239212,23.265789,2.91,7.9238415,4.5466633,16.869,0.0147,0.3761,0.16822,0.20994,0.30261
MMD,NYLI MacKay DefinedTerm Muni Opportunities Fund,16.79,469030608.13064575,0.531,Financial Services,Asset Management,36.519127,,,1.007666,17.103367,,0.0429,1.6304,0.46198002,0.85269,
MMI,"Marcus & Millichap, Inc.",37.19,1432984100.0,1.138,Real Estate,Real Estate Services,,616.6667,-9.72,2.289015,2.3344886,-25.759,0.0135,1.3514,-0.05684,-0.050809998,-0.077259995
MMM,3M Company,133.4379,72569664639.39062,0.995,Industrials,Conglomerates,51.13566,16.800508,-4.75,18.594276,2.2445457,10.558,0.0208,2.0272,0.02891,0.08169,0.22535999
MMS,"Maximus, Inc.",87.0001,5239310651.916504,0.759,Industrials,Specialty Business Services,18.261007,16.01195,1.42,2.896538,0.99716574,11.101,0.0136,0.2474,0.055910002,0.108059995,0.11132
MMT,MFS Multimarket Income Trust,4.8,266314016.33262634,0.687,Financial Services,Asset Management,14.132352,,,0.96582913,11.648113,,0.083900005,1.1623,0.855,0.8791,
MMU,Western Asset Managed Municipals Fund Inc.,10.73,587689456.0243607,0.472,Financial Services,Asset Management,28.236841,,,0.9423026,16.166464,,0.0608,1.3816,0.71782,0.75298,
MNR,,16.5,1693595026.9317627,,Energy,Oil & Gas E&P,,6.2556815,,1.4169228,2.043517,4.151,0.2186,4.8715,0.30956,0.30208,0.64195
MNSO,MINISO Group Holding Limited,17.56,5535080468.634277,0.186,Consumer Cyclical,Specialty Retail,17.356733,11.415033,33.62,0.5575136,0.40031147,5.518,0.0164,0.41689998,0.16282,0.17723,0.20849001
MNTN,Everest Consolidator Acquisition Corporation,11.38,133198349.33948517,0.01,Financial Services,Shell Companies,,,,,,,,,,,
MO,"Altria Group, Inc.",49.766,84756478787.85742,0.684,Consumer Defensive,Tobacco,8.591379,9.40566,2.51,,4.1821094,8.775,0.0832,0.6759,0.50052,0.58669996,0.60074
MOD,Modine Manufacturing Company,129.5317,6870759492.901611,2.224,Consumer Cyclical,Auto Parts,42.17213,27.64516,1.04,8.532168,2.7724435,22.471,,,0.06702,0.11882,0.13286
MODG,Topgolf Callaway Brands Corp.,10.385,1930374628.4866333,1.75,Consumer Cyclical,Leisure,93.68182,64.28125,4.62,0.48011777,0.4478396,12.389,,,0.005,0.094399996,0.114420004
MOG.A,,,,,,,,,,,,,,,,,
MOGU,MOGU Inc.,2.1793,17908436.157045364,0.558,Consumer Cyclical,Internet Retail,,31.13857,,0.030436361,0.11166712,-82.927,,,-0.36973998,-0.35379001,-0.34497002
MOH,"Molina Healthcare, Inc.",283.89,16760771356.201172,0.578,Healthcare,Healthcare Plans,15.68925,10.788027,1.0,3.487239,0.4600759,6.16,,,0.029460002,0.045289997,0.047140002
MOS,The Mosaic Company,26.325,8275762007.792358,1.359,Basic Materials,Agricultural Inputs,34.693333,10.587399,-0.54,0.71299565,0.6864653,6.478,0.0323,1.0933,0.020079998,0.08283,0.15882
MOV,"Movado Group, Inc.",19.01,432064963.7195587,1.013,Consumer Cyclical,Luxury Goods,12.056603,7.496063,1.46,0.83924717,0.63319135,6.861,0.0725,0.8805,0.0545,0.019019999,0.07202
MP,MP Materials Corp.,18.355,2990951548.267334,2.236,Basic Materials,Other Industrial Metals & Mining,,128.9643,-1.19,2.693053,17.41796,-63.606,,,-0.2194,-1.66245,-0.2717
MPA,BlackRock MuniYield Pennsylvania Quality Fund,12.3515,160121801.03607178,0.481,Financial Services,Asset Management,24.245098,,,0.94859993,15.031417,,0.0638,1.1529,0.59704,0.82633,
MPC,Marathon Petroleum Corporation,158.33,52810526609.49707,1.358,Energy,Oil & Gas Refining & Marketing,8.293305,16.007093,-12.65,2.5304635,0.35560122,5.923,0.021,0.1691,0.04828,0.05688,0.091800004
MPLN,MultiPlan Corporation,10.775,169179680.61027527,0.688,Healthcare,Health Information Services,,-1.2556902,,0.27557793,0.17565109,8.201,,,-1.22727,0.12752,0.59675
MPLX,MPLX LP,44.005,44885106525.45557,1.341,Energy,Oil & Gas Midstream,10.684466,10.005682,1.64,3.3414302,4.0900397,11.593,0.0773,0.807,0.38577,0.40117002,0.51399
MPV,Barings Participation Investors,17.295,182711121.81186676,0.598,Financial Services,Asset Management,10.406061,23.847221,,1.0852665,9.061133,,0.0862,0.8303,0.86314005,0.87338996,
MPW,"Medical Properties Trust, Inc.",4.7,2842307116.794586,1.332,Real Estate,REIT—Healthcare Facilities,,17.48148,0.09,0.45754167,8.814005,-146.846,0.0677,10.545501,,2.0710402,-0.24691
MPX,Marine Products Corporation,9.42,325999214.9193764,1.203,Consumer Cyclical,Recreational Vehicles,12.648648,18.72,2.44,2.5141015,1.1373589,8.378,0.059699997,0.7568,0.090450004,0.082679994,0.11229999
MQT,"BlackRock MuniYield Quality Fund II, Inc.",10.5949,235282911.4645958,0.541,Financial Services,Asset Management,22.561916,,,0.9107296,13.314008,,0.0575,1.1617,0.5592,0.88973,
MQY,"BlackRock MuniYield Quality Fund, Inc.",12.8689,926289781.4540863,0.511,Financial Services,Asset Management,20.774193,,,0.9747785,14.043277,,0.0539,1.0524,0.64584,0.86755997,
MRC,MRC Global Inc.,12.4729,1062046743.4115143,1.973,Energy,Oil & Gas Equipment & Services,13.24468,11.44954,0.94,2.033898,0.32228917,8.119,,,0.03188,0.05649,0.06497
MRK,"Merck & Co., Inc.",106.78,269522735518.33008,0.399,Healthcare,Drug Manufacturers—General,19.703703,10.9372425,0.16,6.1977077,4.329219,12.528,0.029000001,0.56299996,0.21985,0.43550998,0.37823
MRO,Marathon Oil Corporation,26.62,14926575340.119507,2.162,Energy,Oil & Gas E&P,10.437539,10.991769,0.86,1.333616,2.257137,4.685,0.0166,0.168,0.22698,0.29281,0.64967
MS,Morgan Stanley,118.1,190038679016.11328,1.356,Financial Services,Capital Markets,17.928755,14.886508,0.84,2.078169,3.263441,,0.0313,0.5281,0.19205,0.33174,
MSA,MSA Safety Incorporated,169.935,6635112396.865845,0.986,Industrials,Security & Protection Services,24.455072,20.379229,1.24,6.4672627,3.677036,15.036,0.0119,0.2783,0.14965001,0.23522,0.26397
MSB,Mesabi Trust,25.39,330689598.99902344,0.848,Basic Materials,Steel,18.790741,-1.2792486,,15.177937,12.218304,,0.0586,0.6179,0.78654,0.55735,
MSC,Studio City International Holdings Limited,6.4,1249896075.920105,-0.461,Consumer Cyclical,Resorts & Casinos,,-64.899994,,2.0174074,2.0792062,28.948,,,-0.16089001,0.0184,0.40785
MSCI,MSCI Inc.,601.56,47249001127.31055,1.11,Financial Services,Financial Data & Stock Exchanges,40.326965,35.57954,3.37,,17.505152,33.089,0.0106,0.3992,0.43861,0.5443,0.57800996
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",7.7,155905455.52082062,0.628,Financial Services,Asset Management,8.67618,,,1.0157999,8.68035,,0.113800004,0.9466,1.01252,0.90046,
MSDL,Morgan Stanley Direct Lending Fund,19.714,1780905180.0472717,,,,7.307407,8.986363,,,,,,,,,
